Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Primera División,17,12:30,O'Higgins,,Colo-Colo,,Estadio Municipal Jorge Silva Valenzuela,,Head-to-Head,
Primera División,17,15:00,Univ Católica,,Coquimbo Unido,,Estadio Santa Laura-Universidad SEK,,Head-to-Head,
Primera División,17,15:00,Palestino,,Unión Española,,Estadio Municipal de La Cisterna,,Head-to-Head,
Primera División,17,18:00,Iquique,,Audax Italiano,,Estadio Tierra de Campeones,,Head-to-Head,
