Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Torneo Clausura,2,13:00 (14:00),Melgar,,Cusco,,Estadio de la Universidad Nacional San A...,,Head-to-Head,
Torneo Clausura,2,15:15 (16:15),Comerciantes Unidos,,Deportivo Garcilaso,,Estadio Juan Maldonado Gamarra,,Head-to-Head,
Torneo Clausura,2,18:00 (19:00),Alianza Lima,,Alianza Atlético,,Estadio Alejandro Villanueva,,Head-to-Head,
