Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First stage,22,13:00 (14:00),Mushuc Runa,,Técnico Univ.,,Estadio Olímpico de Riobamba,,Head-to-Head,
First stage,22,15:30 (16:30),Macará,,Univ Católica,,Estadio Bellavista Universidad Indoaméri...,,Head-to-Head,
First stage,22,18:00 (19:00),Deportivo Cuenca,,Independiente,,Estadio Alejandro Serrano Aguilar Banco ...,,Head-to-Head,
