Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,3,18:30 (11:30),CFR Cluj,,Argeș Pitești,,Stadionul Dr. Constantin Rădulescu,,Head-to-Head,
Regular season,3,21:30 (14:30),Oțelul Galați,,Dinamo,,Stadionul Oţelul,,Head-to-Head,
