Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Finalización — First stage,4,16:00 (17:00),Envigado,,La Equidad,,Estadio Polideportivo Sur,,Head-to-Head,
Finalización — First stage,4,18:20 (19:20),Unión Magdalena,,Independiente,,Estadio Sierra Nevada,,Head-to-Head,
Finalización — First stage,4,20:20 (21:20),Fortaleza FC,,Alianza,,Estadio Metropolitano de Techo,,Head-to-Head,
