Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
NB I,1,16:00 (10:00),Nyíregyháza,,Kisvárda,,Városi stadion,,Head-to-Head,
NB I,1,18:00 (12:00),Paks,,Győr,,Paksi FC Stadion,,Head-to-Head,
NB I,1,20:00 (14:00),Puskás,,Kazincbarcikai SC,,Puskás Akadémia Pancho Aréna,,Head-to-Head,
