Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Chinese Super League,18,19:00 (07:00),Qingdao Hainiu,2–0,Jinmen Tiger,,Qingdao Youth Football Stadium,Xu Qiangqiang,Match Report,
Chinese Super League,18,19:00 (07:00),Changchun Yatai,0–2,Dalian Yingbo,,Changchun Yatai Jingyue Base Main Field,Zhao Liu,Match Report,
Chinese Super League,18,19:35 (07:35),Zhejiang,3–2,Wuhan Three Towns,,Yellow Dragon Sports Center,Mu Yuchen,Match Report,
Chinese Super League,18,19:35 (07:35),Shanghai Shen,3–2,Henan,,Shanghai Stadium,Liang Songshang,Match Report,
Chinese Super League,18,20:00 (08:00),Shandong Taishan,3–0,Meizhou Hakka,,Jinan Olympic Sports Center Stadium,Zhang Lei,Match Report,
