Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Série B,19,16:00 (15:00),Coritiba,,Amazonas,,Estádio Major Antônio Couto Pereira,,Head-to-Head,
Série B,19,16:00 (15:00),Volta Redonda,,Vila Nova,,Estádio General Sílvio Raulino de Olivei...,,Head-to-Head,
Série B,19,18:30 (17:30),América (MG),,Ath Paranaense,,Estádio Raimundo Sampaio,,Head-to-Head,
Série B,19,19:00 (18:00),Atl Goianiense,,Chapecoense,,Estádio Antônio Accioly,,Head-to-Head,
