Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Ekstraklasa,2,14:45 (08:45),Raków,,Wisła Płock,,zondacrypto Arena,,Head-to-Head,
Ekstraklasa,2,17:30 (11:30),Jagiellonia,,Widzew Łódź,,Chorten Arena,,Head-to-Head,
Ekstraklasa,2,20:15 (14:15),Korona Kielce,,Legia Warsaw,,Exbud Arena,,Head-to-Head,
