Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Allsvenskan,17,14:00 (08:00),AIK Stockholm,,Öster,,Strawberry Arena,,Head-to-Head,
Allsvenskan,17,14:00 (08:00),Häcken,,Djurgården,,Bravida Arena,,Head-to-Head,
Allsvenskan,17,16:30 (10:30),Värnamo,,Hammarby,,Finnvedsvallen,,Head-to-Head,
Allsvenskan,17,16:30 (10:30),Mjällby,,Sirius,,Strandvallen,,Head-to-Head,
