Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,15,14:30 (08:30),Rosenborg,,Tromsø,,Lerkendal Stadion,,Head-to-Head,
Eliteserien,15,14:30 (08:30),Bryne,,Viking,,Bryne Stadion,,Head-to-Head,
