Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,2,19:00 (13:00),Napredak Kruševac,,Novi Pazar,,Stadion Mladost,,Head-to-Head,
Regular season,2,20:00 (14:00),Radnički Kragujevac,,Železničar Pančevo,,Stadion Čika Dača,,Head-to-Head,
Regular season,2,20:00 (14:00),Novi Beograd,,Čukarički,,Stadion Lagator,,Head-to-Head,
Regular season,2,21:00 (15:00),Spartak Subotica,,Vojvodina,,Gradski stadion,,Head-to-Head,
