Round,Wk,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Torneo Clausura — Regular season,3,16:00 (15:00),Gimnasia–LP,,,,Independiente,,Estadio Juan Carmelo Zerillo,,Head-to-Head,
Torneo Clausura — Regular season,3,16:00 (15:00),Talleres,,,,Godoy Cruz,,Estadio Mario Alberto Kempes,,Head-to-Head,
Torneo Clausura — Regular season,3,18:30 (17:30),Huracán,,,,Boca Juniors,,Estadio Tomás Adolfo Ducó,,Head-to-Head,
Torneo Clausura — Regular season,3,20:30 (19:30),River Plate,,,,San Lorenzo,,Estadio Mâs Monumental,,Head-to-Head,
