Round,Wk,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,1,13:30 (07:30),Anderlecht,,,,Westerlo,,Lotto Park,,Head-to-Head,
Regular season,1,16:00 (10:00),OH Leuven,,,,Charleroi,,King Power at Den Dreef Stadion,,Head-to-Head,
Regular season,1,18:30 (12:30),Club Brugge,,,,Genk,,Jan Breydelstadion,,Head-to-Head,
Regular season,1,19:15 (13:15),Sint-Truiden,,,,Gent,,Daio Wasabi Stayen Stadium,,Head-to-Head,
