Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,2,14:00 (08:00),Odense,,Viborg,,Nature Energy Park,,Head-to-Head,
Regular season,2,16:00 (10:00),Silkeborg,,FC Fredericia,,JYSK Park,,Head-to-Head,
Regular season,2,18:00 (12:00),Nordsjælland,,Brøndby,,Right to Dream Park,,Head-to-Head,
