Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,2,15:00 (09:00),Slovan Liberec,,FK Pardubice,,Stadion u Nisy,,Head-to-Head,
Regular season,2,17:00 (11:00),Baník Ostrava,,Teplice,,Městský stadion - Vítkovice Aréna,,Head-to-Head,
Regular season,2,20:00 (14:00),Sparta Prague,,Mladá Boleslav,,epet Arena,,Head-to-Head,
