Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,1,16:00 (10:00),Lugano,,Thun,,Stadio di Cornaredo,,Head-to-Head,
Regular season,1,16:00 (10:00),Lausanne-Sport,,FC Winterthur,,Stade de la Tuilière,,Head-to-Head,
