Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,2,19:45 (12:45),Cherno More,,Botev Plovdiv,,Stadion Ticha,,Head-to-Head,
Regular season,2,21:15 (14:15),Septemvri Sofia,,Levski Sofia,,Stadion Lokomotiv,,Head-to-Head,
Regular season,2,22:00 (15:00),Arda,,Lokomotiv Sofia,,Arena Arda,,Head-to-Head,
