Round,Wk,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Russian Premier League,2,15:00 (08:00),CSKA Moscow,,Akhmat Grozny,,VEB Arena,,Head-to-Head,
Russian Premier League,2,17:30 (10:30),Orenburg,,D'mo Makhachkala,,Stadion Gazovik,,Head-to-Head,
Russian Premier League,2,20:00 (13:00),Rubin Kazan,,Zenit,,Ak Bars Arena,,Head-to-Head,
