Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Shot Stopping,Shot Stopping,Shot Stopping,Shot Stopping
Player,Nation,Age,Min,SoTA,GA,Saves,Save%
Ashley Phillips,us USA,27-115,45,3,2,1,33.3
Alyssa Naeher,us USA,25-057,45,2,1,1,50.0
