match type,wk,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Group stage,1,Fri,3/18/22,19:30,Louisville,0.5,1–1,2.3,Current,"5,332",Lynn Family Stadium,Danielle Chesky,Match Report,https://fbref.com/en/matches/78069ae6/Racing-Louisville-Kansas-City-Current-March-18-2022-NWSL-Challenge-Cup,78069ae6
Group stage,1,Fri,3/18/22,19:00 (22:00),Reign,0.7,1–1,1.1,Thorns,"7,343",Lumen Field,Kevin Broadley,Match Report,https://fbref.com/en/matches/17f37cd6/OL-Reign-Portland-Thorns-FC-March-18-2022-NWSL-Challenge-Cup,17f37cd6
Group stage,1,Sat,3/19/22,19:00,Courage,1.4,2–0,0.2,Gotham FC,"2,537",Sahlen's Stadium at WakeMed Soccer Park,Karen Callado,Match Report,https://fbref.com/en/matches/e94ca5b6/North-Carolina-Courage-Gotham-FC-March-19-2022-NWSL-Challenge-Cup,e94ca5b6
Group stage,1,Sat,3/19/22,19:00,Pride,0.7,0–0,1.1,Spirit,"3,534",Exploria Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/61e4bfa2/Orlando-Pride-Washington-Spirit-March-19-2022-NWSL-Challenge-Cup,61e4bfa2
Group stage,1,Sat,3/19/22,18:00 (21:00),Angel City,1.4,1–1,2.7,Wave,"6,307",Titan Stadium,Elvis Osmanovic,Match Report,https://fbref.com/en/matches/b1027ba5/Angel-City-FC-San-Diego-Wave-March-19-2022-NWSL-Challenge-Cup,b1027ba5
Group stage,1,Sun,3/20/22,18:00 (19:00),Dash,1.7,1–3,1.5,Red Stars,"4,087",PNC Stadium,Joshua Encarnacion,Match Report,https://fbref.com/en/matches/08777f6d/Houston-Dash-Chicago-Red-Stars-March-20-2022-NWSL-Challenge-Cup,08777f6d
Group stage,2,Fri,3/25/22,19:30,Spirit,2.6,1–1,1.2,Gotham FC,"3,421",Segra Field,Alyssa Nichols,Match Report,https://fbref.com/en/matches/cfbf0a81/Washington-Spirit-Gotham-FC-March-25-2022-NWSL-Challenge-Cup,cfbf0a81
Group stage,2,Fri,3/25/22,19:30,Louisville,0.6,2–3,1.7,Dash,"3,800",Lynn Family Stadium,Sergii Demianchuk,Match Report,https://fbref.com/en/matches/b59b53ed/Racing-Louisville-Houston-Dash-March-25-2022-NWSL-Challenge-Cup,b59b53ed
Group stage,2,Sat,3/26/22,13:00 (16:00),Angel City,1,1–3,1.7,Reign,"4,156",Banc of California Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/b13fe91a/Angel-City-FC-OL-Reign-March-26-2022-NWSL-Challenge-Cup,b13fe91a
Group stage,2,Sat,3/26/22,19:00,Courage,1.7,1–0,0.5,Pride,"3,328",Sahlen's Stadium at WakeMed Soccer Park,Joshua Encarnacion,Match Report,https://fbref.com/en/matches/44d9659f/North-Carolina-Courage-Orlando-Pride-March-26-2022-NWSL-Challenge-Cup,44d9659f
Group stage,2,Fri,3/25/22,19:30 (20:30),Red Stars,1,1–2,0.7,Current,"2,604",SeatGeek Stadium,Greg Dopka,Match Report,https://fbref.com/en/matches/30b89b79/Chicago-Red-Stars-Kansas-City-Current-March-25-2022-NWSL-Challenge-Cup,30b89b79
Group stage,2,Sat,3/26/22,19:00 (22:00),Wave,1.4,0–1,1.9,Thorns,"6,000",Torero Stadium,Luis Guardia,Match Report,https://fbref.com/en/matches/f1b15f77/San-Diego-Wave-Portland-Thorns-FC-March-26-2022-NWSL-Challenge-Cup,f1b15f77
Group stage,3,Wed,3/30/22,18:30 (19:30),Red Stars,1.4,0–0,1.5,Louisville,"1,466",SeatGeek Stadium,Calin Radosav,Match Report,https://fbref.com/en/matches/75882c0d/Chicago-Red-Stars-Racing-Louisville-March-30-2022-NWSL-Challenge-Cup,75882c0d
Group stage,3,Wed,3/30/22,19:00,Pride,1.7,0–1,1.2,Gotham FC,"3,351",Exploria Stadium,Anya Voigt,Match Report,https://fbref.com/en/matches/eca58f62/Orlando-Pride-Gotham-FC-March-30-2022-NWSL-Challenge-Cup,eca58f62
Group stage,3,Wed,3/30/22,19:30,Spirit,1.3,2–2,1.1,Courage,"2,155",Audi Field,Danielle Chesky,Match Report,https://fbref.com/en/matches/74c8dfe3/Washington-Spirit-North-Carolina-Courage-March-30-2022-NWSL-Challenge-Cup,74c8dfe3
Group stage,3,Wed,3/30/22,19:00 (22:00),Thorns,1.6,3–0,0.2,Angel City,"9,902",Providence Park,Mark Allatin,Match Report,https://fbref.com/en/matches/fb385410/Portland-Thorns-FC-Angel-City-FC-March-30-2022-NWSL-Challenge-Cup,fb385410
Group stage,3,Wed,3/30/22,19:30 (20:30),Dash,0.9,0–3,2.4,Current,"2,229",PNC Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/49ea5dd8/Houston-Dash-Kansas-City-Current-March-30-2022-NWSL-Challenge-Cup,49ea5dd8
Group stage,4,Sat,4/2/22,13:00 (16:00),Wave,3,4–2,0.5,Angel City,"5,158",Torero Stadium,Brad Jensen,Match Report,https://fbref.com/en/matches/4fae253c/San-Diego-Wave-Angel-City-FC-April-2-2022-NWSL-Challenge-Cup,4fae253c
Group stage,4,Sat,4/2/22,14:00 (15:00),Current,1.6,0–3,1.2,Louisville,"6,310",Children's Mercy Park,Alyssa Nichols,Match Report,https://fbref.com/en/matches/daa14142/Kansas-City-Current-Racing-Louisville-April-2-2022-NWSL-Challenge-Cup,daa14142
Group stage,4,Sun,4/3/22,15:00,Gotham FC,1.1,1–1,1.8,Courage,"1,408",Red Bull Arena,Laura Rodriguez,Match Report,https://fbref.com/en/matches/20b32e92/Gotham-FC-North-Carolina-Courage-April-3-2022-NWSL-Challenge-Cup,20b32e92
Group stage,4,Sun,4/3/22,16:00,Spirit,2.1,4–1,0.6,Pride,"5,656",Audi Field,Sergii Demianchuk,Match Report,https://fbref.com/en/matches/c97a3548/Washington-Spirit-Orlando-Pride-April-3-2022-NWSL-Challenge-Cup,c97a3548
Group stage,4,Sat,4/2/22,19:00 (20:00),Red Stars,1.7,2–0,0.2,Dash,"1,721",SeatGeek Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/195b92b0/Chicago-Red-Stars-Houston-Dash-April-2-2022-NWSL-Challenge-Cup,195b92b0
Group stage,4,Sat,4/2/22,19:00 (22:00),Thorns,0.7,0–1,0.7,Reign,"12,034",Providence Park,Elijio Arreguin,Match Report,https://fbref.com/en/matches/256b881c/Portland-Thorns-FC-OL-Reign-April-2-2022-NWSL-Challenge-Cup,256b881c
Group stage,3,Thu,4/14/22,19:00 (22:00),Reign,0.7,3–1,0.7,Wave,"4,803",Lumen Field,Adorae Monroy,Match Report,https://fbref.com/en/matches/79ca1db6/OL-Reign-San-Diego-Wave-April-14-2022-NWSL-Challenge-Cup,79ca1db6
Group stage,5,Sat,4/16/22,19:00,Pride,1.1,2–4,2.8,Courage,"3,601",Exploria Stadium,Alyssa Nichols,Match Report,https://fbref.com/en/matches/913891bb/Orlando-Pride-North-Carolina-Courage-April-16-2022-NWSL-Challenge-Cup,913891bb
Group stage,5,Fri,4/15/22,19:00 (20:00),Current,0.9,2–1,0.9,Dash,"5,022",Children's Mercy Park,Jeremy Scheer,Match Report,https://fbref.com/en/matches/3024087b/Kansas-City-Current-Houston-Dash-April-15-2022-NWSL-Challenge-Cup,3024087b
Group stage,5,Sat,4/16/22,19:30,Louisville,0.7,1–1,1.3,Red Stars,"4,409",Lynn Family Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/cadc8b84/Racing-Louisville-Chicago-Red-Stars-April-16-2022-NWSL-Challenge-Cup,cadc8b84
Group stage,5,Sun,4/17/22,15:00 (18:00),Reign,1.2,2–1,0.6,Angel City,"5,660",Lumen Field,Brandon Stevis,Match Report,https://fbref.com/en/matches/4dd9f586/OL-Reign-Angel-City-FC-April-17-2022-NWSL-Challenge-Cup,4dd9f586
Group stage,5,Sun,4/17/22,15:00,Gotham FC,0.4,1–3,1.4,Spirit,"2,061",Red Bull Arena,Elvis Osmanovic,Match Report,https://fbref.com/en/matches/290323ab/Gotham-FC-Washington-Spirit-April-17-2022-NWSL-Challenge-Cup,290323ab
Group stage,5,Sun,4/17/22,16:00 (19:00),Thorns,1.4,3–2,2,Wave,"12,440",Providence Park,Ricardo Fierro,Match Report,https://fbref.com/en/matches/4ba0e2d8/Portland-Thorns-FC-San-Diego-Wave-April-17-2022-NWSL-Challenge-Cup,4ba0e2d8
Group stage,6,Sat,4/23/22,13:00,Courage,2.5,2–2,2.2,Spirit,"3,905",Sahlen's Stadium at WakeMed Soccer Park,Eric Tattersall,Match Report,https://fbref.com/en/matches/72276317/North-Carolina-Courage-Washington-Spirit-April-23-2022-NWSL-Challenge-Cup,72276317
Group stage,6,Sat,4/23/22,19:00,Gotham FC,2.1,1–1,1.5,Pride,"2,734",Red Bull Arena,Jeremy Scheer,Match Report,https://fbref.com/en/matches/73ee3add/Gotham-FC-Orlando-Pride-April-23-2022-NWSL-Challenge-Cup,73ee3add
Group stage,6,Sun,4/24/22,16:00 (17:00),Current,1.2,2–1,0.9,Red Stars,"5,107",Children's Mercy Park,Adorae Monroy,Match Report,https://fbref.com/en/matches/661be992/Kansas-City-Current-Chicago-Red-Stars-April-24-2022-NWSL-Challenge-Cup,661be992
Group stage,6,Sun,4/24/22,17:00 (18:00),Dash,1.7,2–1,0.6,Louisville,"3,073",PNC Stadium,Brad Jensen,Match Report,https://fbref.com/en/matches/1bc47be5/Houston-Dash-Racing-Louisville-April-24-2022-NWSL-Challenge-Cup,1bc47be5
Group stage,6,Sat,4/23/22,19:00 (22:00),Wave,1.3,1–1,0.7,Reign,"6,000",Torero Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/96c9139c/San-Diego-Wave-OL-Reign-April-23-2022-NWSL-Challenge-Cup,96c9139c
Group stage,6,Sun,4/24/22,18:00 (21:00),Angel City,1.6,1–0,0.6,Thorns,,Titan Stadium,John Griggs,Match Report,https://fbref.com/en/matches/91d6f674/Angel-City-FC-Portland-Thorns-FC-April-24-2022-NWSL-Challenge-Cup,91d6f674
Semifinals,,Wed,5/4/22,19:30 (20:30),Current,1.6,1–2,1.9,Courage,"4,093",Children's Mercy Park,Natalie Simon,Match Report,https://fbref.com/en/matches/48487630/Kansas-City-Current-North-Carolina-Courage-May-4-2022-NWSL-Challenge-Cup,48487630
Semifinals,,Wed,5/4/22,20:00,Reign,1.9,(8) 0–0 (9),1.2,Spirit,"3,015",Audi Field,Greg Dopka,Match Report,https://fbref.com/en/matches/f1d3f350/OL-Reign-Washington-Spirit-May-4-2022-NWSL-Challenge-Cup,f1d3f350
Final,,Sat,5/7/22,13:00,Courage,2,2–1,1.2,Spirit,"3,136",Sahlen's Stadium at WakeMed Soccer Park,Katja Koroleva,Match Report,https://fbref.com/en/matches/bdf986b5/North-Carolina-Courage-Washington-Spirit-May-7-2022-NWSL-Challenge-Cup,bdf986b5
