match type,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,3/24/18,15:30,Courage,1–0,Thorns,"4,210",WakeMed Soccer Park,Ramy Touchan,Match Report,https://fbref.com/en/matches/aeb17e74/North-Carolina-Courage-Portland-Thorns-FC-March-24-2018-NWSL,aeb17e74
Regular Season,Sat,3/24/18,19:30,Pride,1–1,Royals,"9,017",Orlando City Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/3a815c4f/Orlando-Pride-Utah-Royals-FC-March-24-2018-NWSL,3a815c4f
Regular Season,Sun,3/25/18,16:00 (17:00),Dash,1–1,Red Stars,"5,846",BBVA Compass Stadium,Jasmine Peralta,Match Report,https://fbref.com/en/matches/73b7a256/Houston-Dash-Chicago-Red-Stars-March-25-2018-NWSL,73b7a256
Regular Season,Sat,3/24/18,19:00 (22:00),Reign,2–1,Spirit,"3,561",Seattle High School Memorial Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/254105a8/Seattle-Reign-FC-Washington-Spirit-March-24-2018-NWSL,254105a8
Regular Season,Sat,3/31/18,15:00,Courage,1–0,Sky Blue FC,"4,078",WakeMed Soccer Park,Robinson Khongsai,Match Report,https://fbref.com/en/matches/82737f56/North-Carolina-Courage-Sky-Blue-FC-March-31-2018-NWSL,82737f56
Regular Season,Sat,3/31/18,15:30,Spirit,2–0,Pride,"4,989",Maureen Hendricks Field at Maryland Socc...,Matthew Franz,Match Report,https://fbref.com/en/matches/a17c0ef0/Washington-Spirit-Orlando-Pride-March-31-2018-NWSL,a17c0ef0
Regular Season,Fri,3/30/18,19:00 (20:00),Dash,0–0,Royals,"3,433",BBVA Compass Stadium,Elton Garcia,Match Report,https://fbref.com/en/matches/9951420b/Houston-Dash-Utah-Royals-FC-March-30-2018-NWSL,9951420b
Regular Season,Sat,3/31/18,19:15 (20:15),Red Stars,2–3,Thorns,"13,678",Toyota Park,Greg Dopka,Match Report,https://fbref.com/en/matches/9d713186/Chicago-Red-Stars-Portland-Thorns-FC-March-31-2018-NWSL,9d713186
Regular Season,Sat,4/14/18,13:30 (15:30),Royals,0–1,Red Stars,"19,203",Rio Tinto Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/66c8a43d/Utah-Royals-FC-Chicago-Red-Stars-April-14-2018-NWSL,66c8a43d
Regular Season,Sat,4/14/18,19:00,Spirit,2–4,Courage,"3,458",Maureen Hendricks Field at Maryland Socc...,Jasmine Peralta,Match Report,https://fbref.com/en/matches/b73fabbe/Washington-Spirit-North-Carolina-Courage-April-14-2018-NWSL,b73fabbe
