match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,5/15/21,17:00,Louisville,0.8,0–0,0.5,Kansas City,"6,622",Lynn Family Stadium,Adorae Monroy,Match Report,https://fbref.com/en/matches/92ccc792/Racing-Louisville-Kansas-City-May-15-2021-NWSL,92ccc792
Regular Season,Sat,5/15/21,19:00,Gotham FC,0.7,1–0,2.1,Dash,,Red Bull Arena,Danielle Chesky,Match Report,https://fbref.com/en/matches/bf8c7152/Gotham-FC-Houston-Dash-May-15-2021-NWSL,bf8c7152
Regular Season,Sun,5/16/21,16:00 (19:00),Thorns,3.6,5–0,0.2,Red Stars,,Providence Park,Katja Koroleva,Match Report,https://fbref.com/en/matches/2e23bf3e/Portland-Thorns-FC-Chicago-Red-Stars-May-16-2021-NWSL,2e23bf3e
Regular Season,Sun,5/16/21,18:00,Pride,1.4,1–1,2.1,Spirit,,Exploria Stadium,Karen Callado,Match Report,https://fbref.com/en/matches/14b12758/Orlando-Pride-Washington-Spirit-May-16-2021-NWSL,14b12758
Regular Season,Sat,5/15/21,19:00 (22:00),Reign,0.7,0–0,1.6,Courage,"2,104",Cheney Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/072e422f/OL-Reign-North-Carolina-Courage-May-15-2021-NWSL,072e422f
Regular Season,Fri,5/21/21,19:30,Louisville,1.3,2–0,3,Spirit,"6,011",Lynn Family Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/78660c17/Racing-Louisville-Washington-Spirit-May-21-2021-NWSL,78660c17
Regular Season,Sat,5/22/21,19:00,Courage,1.8,1–2,0.9,Pride,,Sahlen's Stadium at WakeMed Soccer Park,Alex Billeter,Match Report,https://fbref.com/en/matches/76f87d7e/North-Carolina-Courage-Orlando-Pride-May-22-2021-NWSL,76f87d7e
Regular Season,Sun,5/23/21,15:00 (18:00),Thorns,2.1,1–2,1.1,Reign,,Providence Park,Karen Callado,Match Report,https://fbref.com/en/matches/c1330700/Portland-Thorns-FC-OL-Reign-May-23-2021-NWSL,c1330700
Regular Season,Sun,5/23/21,18:00 (19:00),Dash,1.6,2–2,1.2,Kansas City,"3,034",BBVA Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/b34794ed/Houston-Dash-Kansas-City-May-23-2021-NWSL,b34794ed
Regular Season,Sat,5/22/21,19:00 (20:00),Red Stars,1.2,0–0,0.3,Gotham FC,"3,121",SeatGeek Stadium,Adorae Monroy,Match Report,https://fbref.com/en/matches/6ba30741/Chicago-Red-Stars-Gotham-FC-May-22-2021-NWSL,6ba30741
Regular Season,Wed,5/26/21,19:00,Pride,0.9,2–1,1.1,Thorns,"3,407",Exploria Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/b23322de/Orlando-Pride-Portland-Thorns-FC-May-26-2021-NWSL,b23322de
Regular Season,Wed,5/26/21,19:00 (20:00),Kansas City,1.7,0–2,1.2,Red Stars,"5,272",Field of Legends,Danielle Chesky,Match Report,https://fbref.com/en/matches/9733a93c/Kansas-City-Chicago-Red-Stars-May-26-2021-NWSL,9733a93c
Regular Season,Wed,5/26/21,19:30 (20:30),Spirit,1,2–1,3,Dash,"2,241",BBVA Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/a5d7e67a/Washington-Spirit-Houston-Dash-May-26-2021-NWSL,a5d7e67a
Regular Season,Fri,5/28/21,19:00,Courage,4,5–0,0.3,Louisville,"3,902",Sahlen's Stadium at WakeMed Soccer Park,Matthew Franz,Match Report,https://fbref.com/en/matches/28529cef/North-Carolina-Courage-Racing-Louisville-May-28-2021-NWSL,28529cef
Regular Season,Sat,5/29/21,18:30 (19:30),Dash,1.4,2–1,1.3,Red Stars,,BBVA Stadium,Karen Callado,Match Report,https://fbref.com/en/matches/be723b18/Houston-Dash-Chicago-Red-Stars-May-29-2021-NWSL,be723b18
Regular Season,Sun,5/30/21,15:00,Gotham FC,0.7,0–1,1.5,Thorns,,Red Bull Arena,Karen Abt,Match Report,https://fbref.com/en/matches/2184074e/Gotham-FC-Portland-Thorns-FC-May-30-2021-NWSL,2184074e
Regular Season,Sun,5/30/21,16:00 (19:00),Reign,0.6,0–1,0.8,Spirit,"2,537",Cheney Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/adffaaa7/OL-Reign-Washington-Spirit-May-30-2021-NWSL,adffaaa7
Regular Season,Sun,5/30/21,18:00,Pride,2.1,1–0,0.7,Kansas City,"4,044",Exploria Stadium,Alyssa Nichols,Match Report,https://fbref.com/en/matches/0ec1b5bb/Orlando-Pride-Kansas-City-May-30-2021-NWSL,0ec1b5bb
Regular Season,Sat,6/5/21,13:00 (14:00),Red Stars,1.9,1–0,0.6,Courage,"2,265",SeatGeek Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/fb5d227f/Chicago-Red-Stars-North-Carolina-Courage-June-5-2021-NWSL,fb5d227f
Regular Season,Sat,6/5/21,19:00,Gotham FC,0.7,1–0,2,Reign,"2,601",Red Bull Arena,Joshua Encarnacion,Match Report,https://fbref.com/en/matches/b161f09c/Gotham-FC-OL-Reign-June-5-2021-NWSL,b161f09c
Regular Season,Sun,6/6/21,13:00 (14:00),Kansas City,1.2,0–1,1.3,Dash,"4,265",Field of Legends,Alex Billeter,Match Report,https://fbref.com/en/matches/c19e2edc/Kansas-City-Houston-Dash-June-6-2021-NWSL,c19e2edc
Regular Season,Sun,6/6/21,14:00,Spirit,1.3,1–1,0.4,Pride,"5,199",Audi Field,Adorae Monroy,Match Report,https://fbref.com/en/matches/55fd0afd/Washington-Spirit-Orlando-Pride-June-6-2021-NWSL,55fd0afd
Regular Season,Sat,6/5/21,19:30 (22:30),Thorns,3.3,3–0,0.3,Louisville,,Providence Park,Samantha Martinez,Match Report,https://fbref.com/en/matches/5a27b398/Portland-Thorns-FC-Racing-Louisville-June-5-2021-NWSL,5a27b398
Regular Season,Sat,6/19/21,16:00,Courage,1.6,2–1,1,Reign,"5,026",Sahlen's Stadium at WakeMed Soccer Park,Karen Callado,Match Report,https://fbref.com/en/matches/7d903802/North-Carolina-Courage-OL-Reign-June-19-2021-NWSL,7d903802
