player_id,player_url,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
9f4a3772,https://fbref.com/en/players/9f4a3772/Courtney-Niemiec,Courtney Niemiec,us USA,DF,Thorns,21,1992,11,10,824,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
0db34817,https://fbref.com/en/players/0db34817/Teresa-Noyola,Teresa Noyola,mx MEX,"FW,MF",Dash,23,1990,10,3,431,4.8,3,0,3,1,2,2,0,0,0.63,0,0.63,0.21,0.21,Matches
5ebefe20,https://fbref.com/en/players/5ebefe20/Kelley-OHara,Kelley O'Hara,us USA,"DF,FW",Sky Blue FC,25,1988,22,22,"1,917",21.3,7,5,12,7,0,1,0,0,0.33,0.23,0.56,0.33,0.56,Matches
1590d091,https://fbref.com/en/players/1590d091/Heather-OReilly,Heather O'Reilly,us USA,"FW,MF",Boston Breakers,29,1985,22,21,"1,874",20.8,9,5,14,3,6,6,3,0,0.43,0.24,0.67,0.14,0.38,Matches
90ac5aca,https://fbref.com/en/players/90ac5aca/Monica-Ocampo,Mónica Ocampo,mx MEX,FW,Sky Blue FC,27,1987,18,13,996,11.1,3,0,3,3,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
a048cb2f,https://fbref.com/en/players/a048cb2f/Stephanie-Ochs,Stephanie Ochs,us USA,FW,Dash,23,1990,24,19,"1,804",20,0,2,2,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
063a0372,https://fbref.com/en/players/063a0372/Osinachi-Ohale,Osinachi Ohale,ng NGA,DF,Dash,21,1992,19,18,"1,555",17.3,1,0,1,1,0,0,4,1,0.06,0,0.06,0.06,0.06,Matches
b50e3dec,https://fbref.com/en/players/b50e3dec/Haley-Palmer,Haley Palmer,us USA,DF,WNY Flash,21,1992,7,5,357,4,0,1,1,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
66a14ee6,https://fbref.com/en/players/66a14ee6/Kelsey-Pardue,Kelsey Pardue,us USA,MF,Spirit,,,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8eccbd50,https://fbref.com/en/players/8eccbd50/Mollie-Pathman,Mollie Pathman,us USA,"FW,MF",Boston Breakers,21,1992,21,18,"1,519",16.9,0,1,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
