player_id,player_url,Player,Nation,Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
510b58ac,https://fbref.com/en/players/510b58ac/Tiffany-Cameron,Tiffany Cameron,jm JAM,FW,Kansas City,1991,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
c7541aff,https://fbref.com/en/players/c7541aff/Lori-Chalupny,Lori Chalupny,us USA,MF,Red Stars,1984,18,17,"1,500",16.7,5,4,9,5,0,0,3,0,0.3,0.24,0.54,0.3,0.54,Matches
6dabcffd,https://fbref.com/en/players/6dabcffd/Candace-Chapman,Candace Chapman,ca CAN,DF,Spirit,1983,8,8,547,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
c11fd4a8,https://fbref.com/en/players/c11fd4a8/Kennya-Cordner,Kennya Cordner,tt TRI,FW,Reign,1988,3,2,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88032c64,https://fbref.com/en/players/88032c64/Stephanie-Cox,Stephanie Cox,us USA,DF,Reign,1986,4,4,324,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
ab563bd2,https://fbref.com/en/players/ab563bd2/Renae-Cuellar,Renae Cuéllar,mx MEX,FW,Reign,1990,7,3,344,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
ab563bd2,https://fbref.com/en/players/ab563bd2/Renae-Cuellar,Renae Cuéllar,mx MEX,FW,Kansas City,1990,11,8,682,7.6,5,0,5,5,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
3b10df9c,https://fbref.com/en/players/3b10df9c/Lindsi-Cutshall,Lindsi Cutshall,us USA,DF,Sky Blue FC,1990,7,1,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
d4247181,https://fbref.com/en/players/d4247181/Kiersten-Dallstream,Kiersten Dallstream,us USA,"DF,FW",Reign,1988,20,14,"1,299",14.4,0,0,0,0,0,0,1,2,0,0,0,0,0,Matches
88fb9f93,https://fbref.com/en/players/88fb9f93/Lisa-De-Vanna,Lisa De Vanna,au AUS,FW,Sky Blue FC,1984,16,15,"1,289",14.3,5,2,7,5,0,1,1,0,0.35,0.14,0.49,0.35,0.49,Matches
e666d0dd,https://fbref.com/en/players/e666d0dd/Kate-Deines,Kate Deines,us USA,"DF,MF",Reign,1989,17,11,982,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
0888187a,https://fbref.com/en/players/0888187a/Vicki-DiMartino,Vicki DiMartino,us USA,"DF,FW",WNY Flash,1991,12,4,2,0,1,,,1,0,0,1,0,45,,,45,,Matches
a9bd90a7,https://fbref.com/en/players/a9bd90a7/Maribel-Dominguez,Maribel Domínguez,mx MEX,FW,Red Stars,1978,16,9,710,7.9,2,0,2,2,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
43777533,https://fbref.com/en/players/43777533/Marian-Dougherty,Marian Dougherty,us USA,DF,Thorns,1984,19,19,"1,666",18.5,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches
cd7ef3f2,https://fbref.com/en/players/cd7ef3f2/Jo-Dragotta,Jo Dragotta,us USA,"DF,MF",Boston Breakers,1991,10,6,565,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4e99492b,https://fbref.com/en/players/4e99492b/Becky-Edwards,Becky Edwards,us USA,"DF,MF",Thorns,1988,10,10,900,10,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
6e9716f6,https://fbref.com/en/players/6e9716f6/Emily-van-Egmond,Emily van Egmond,au AUS,MF,Reign,1993,6,4,296,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
e0a85061,https://fbref.com/en/players/e0a85061/Tina-Ellertson,Tina Ellertson,us USA,DF,Thorns,1982,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
c6a67ef1,https://fbref.com/en/players/c6a67ef1/Maddy-Evans,Maddy Evans,us USA,"DF,MF",Boston Breakers,1991,11,2,370,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34e16d35,https://fbref.com/en/players/34e16d35/Sinead-Farrelly,Sinead Farrelly,ie IRL,MF,Kansas City,1989,16,10,896,10,1,0,1,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
11cfa9d6,https://fbref.com/en/players/11cfa9d6/Jess-Fishlock,Jess Fishlock,wls WAL,MF,Reign,1987,21,21,"1,876",20.8,4,0,4,4,0,0,4,0,0.19,0,0.19,0.19,0.19,Matches
019544ff,https://fbref.com/en/players/019544ff/Caitlin-Foord,Caitlin Foord,au AUS,"DF,FW",Sky Blue FC,1994,15,15,"1,290",14.3,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
d902c7b7,https://fbref.com/en/players/d902c7b7/Lauren-Fowlkes,Lauren Fowlkes,us USA,"DF,FW",Red Stars,1988,4,4,291,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
911af3bb,https://fbref.com/en/players/911af3bb/Danielle-Foxhoven,Danielle Foxhoven,us USA,"FW,MF",Thorns,1989,21,7,997,11.1,4,0,4,4,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
2d2234cf,https://fbref.com/en/players/2d2234cf/Adrianna-Franch,Adrianna Franch,us USA,GK,WNY Flash,1990,22,22,"1,978",22,,,,,0,0,,,,,,,,Matches
5c9f4456,https://fbref.com/en/players/5c9f4456/Katy-Freels,Katy Freels,us USA,MF,Sky Blue FC,1990,22,21,"1,847",20.5,1,6,7,1,0,0,0,0,0.05,0.29,0.34,0.05,0.34,Matches
e016ecf7,https://fbref.com/en/players/e016ecf7/Jaime-French,Jaime French,us USA,FW,Kansas City,1989,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
850bee0a,https://fbref.com/en/players/850bee0a/Sonja-Fuss,Sonja Fuss,de GER,DF,Red Stars,1978,16,16,"1,440",16,2,1,3,0,2,2,0,0,0.12,0.06,0.19,0,0.06,Matches
e8cf6af1,https://fbref.com/en/players/e8cf6af1/Dinora-Garza,Dinora Garza,mx MEX,"FW,MF",Red Stars,1988,2,2,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
