player_id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
,Melanie Booth,ca CAN,DF,Sky Blue FC,28,1984,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Shannon Boxx,us USA,MF,Red Stars,35,1977,2,1,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Rachel Breton,us USA,"DF,FW",Sky Blue FC,22,1990,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Jen Buczkowski,us USA,"DF,MF",Kansas City,27,1985,22,22,"1,980",22,0,2,2,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
,Mariah Bullock,ws SAM,"DF,MF",Boston Breakers,21,1991,20,16,"1,408",15.6,3,1,4,3,0,0,1,0,0.19,0.06,0.26,0.19,0.26,Matches
,Zakiya Bywaters,us USA,FW,Red Stars,21,1991,6,5,372,4.1,2,0,2,2,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
,Brittany Cameron,us USA,GK,Sky Blue FC,26,1986,18,18,"1,619",18,,,,,0,0,,,,,,,,Matches
,Tiffany Cameron,jm JAM,FW,Reign,21,1991,7,4,374,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Tiffany Cameron,jm JAM,FW,Kansas City,21,1991,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Lori Chalupny,us USA,MF,Red Stars,29,1984,18,17,"1,500",16.7,5,4,9,5,0,0,3,0,0.3,0.24,0.54,0.3,0.54,Matches
,Candace Chapman,ca CAN,DF,Spirit,29,1983,8,8,547,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Kennya Cordner,tt TRI,FW,Reign,24,1988,3,2,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Stephanie Cox,us USA,DF,Reign,26,1986,4,4,324,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Renae Cuéllar,mx MEX,FW,Reign,22,1990,7,3,344,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
,Renae Cuéllar,mx MEX,FW,Kansas City,22,1990,11,8,682,7.6,5,0,5,5,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
,Lindsi Cutshall,us USA,DF,Sky Blue FC,22,1990,7,1,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Kiersten Dallstream,us USA,"DF,FW",Reign,24,1988,20,14,"1,299",14.4,0,0,0,0,0,0,1,2,0,0,0,0,0,Matches
,Lisa De Vanna,au AUS,FW,Sky Blue FC,28,1984,16,15,"1,289",14.3,5,2,7,5,0,1,1,0,0.35,0.14,0.49,0.35,0.49,Matches
,Kate Deines,us USA,"DF,MF",Reign,23,1989,17,11,982,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Vicki DiMartino,us USA,"DF,FW",WNY Flash,21,1991,12,4,2,0,1,,,1,0,0,1,0,45,,,45,,Matches
,Maribel Domínguez,mx MEX,FW,Red Stars,34,1978,16,9,710,7.9,2,0,2,2,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
,Marian Dougherty,us USA,DF,Thorns,28,1984,19,19,"1,666",18.5,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches
,Jo Dragotta,us USA,"DF,MF",Boston Breakers,21,1991,10,6,565,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
,Becky Edwards,us USA,"DF,MF",Thorns,24,1988,10,10,900,10,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
,Emily van Egmond,au AUS,MF,Reign,19,1993,6,4,296,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
,Tina Ellertson,us USA,DF,Thorns,30,1982,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Maddy Evans,us USA,"DF,MF",Boston Breakers,21,1991,11,2,370,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Sinead Farrelly,ie IRL,MF,Kansas City,23,1989,16,10,896,10,1,0,1,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
,Jess Fishlock,wls WAL,MF,Reign,26,1987,21,21,"1,876",20.8,4,0,4,4,0,0,4,0,0.19,0,0.19,0.19,0.19,Matches
,Caitlin Foord,au AUS,"DF,FW",Sky Blue FC,18,1994,15,15,"1,290",14.3,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
,Lauren Fowlkes,us USA,"DF,FW",Red Stars,24,1988,4,4,291,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Danielle Foxhoven,us USA,"FW,MF",Thorns,23,1989,21,7,997,11.1,4,0,4,4,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
,Adrianna Franch,us USA,GK,WNY Flash,22,1990,22,22,"1,978",22,,,,,0,0,,,,,,,,Matches
,Katy Freels,us USA,MF,Sky Blue FC,22,1990,22,21,"1,847",20.5,1,6,7,1,0,0,0,0,0.05,0.29,0.34,0.05,0.34,Matches
,Jaime French,us USA,FW,Kansas City,23,1989,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Sonja Fuss,de GER,DF,Red Stars,34,1978,16,16,"1,440",16,2,1,3,0,2,2,0,0,0.12,0.06,0.19,0,0.06,Matches
,Dinora Garza,mx MEX,"FW,MF",Red Stars,25,1988,2,2,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,Robyn Gayle,ca CAN,DF,Spirit,27,1985,14,14,"1,185",13.2,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
,Missy Geha,us USA,MF,Kansas City,25,1987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,CoCo Goodson,us USA,DF,Sky Blue FC,22,1990,22,22,"2,070",23,1,1,2,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,Matches
