match type,wk,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Group stage,1,Wed,4/19/23,18:30 (19:30),Dash,0.5,0–2,1,Current,"4,124",Shell Energy Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/f862299e/Houston-Dash-Kansas-City-Current-April-19-2023-NWSL-Challenge-Cup,f862299e
Group stage,1,Wed,4/19/23,19:00,Pride,0.7,1–1,2.2,Courage,"3,139",Exploria Stadium,Gabriele Giusti,Match Report,https://fbref.com/en/matches/f6c8d2fc/Orlando-Pride-North-Carolina-Courage-April-19-2023-NWSL-Challenge-Cup,f6c8d2fc
Group stage,1,Wed,4/19/23,19:30,Gotham FC,0.9,1–0,0.7,Spirit,"7,543",Red Bull Arena,Shawn Tehini,Match Report,https://fbref.com/en/matches/5c41b080/Gotham-FC-Washington-Spirit-April-19-2023-NWSL-Challenge-Cup,5c41b080
Group stage,1,Wed,4/19/23,19:00 (22:00),Angel City,1.2,0–2,1.5,Reign,"10,021",BMO Stadium,Anya Voigt,Match Report,https://fbref.com/en/matches/2c708d10/Angel-City-FC-OL-Reign-April-19-2023-NWSL-Challenge-Cup,2c708d10
Group stage,1,Wed,4/19/23,19:00 (22:00),Wave,0.2,1–0,1.1,Thorns,"9,504",Snapdragon Stadium,Brandon Stevis,Match Report,https://fbref.com/en/matches/42af74d7/San-Diego-Wave-Portland-Thorns-FC-April-19-2023-NWSL-Challenge-Cup,42af74d7
Group stage,2,Wed,5/3/23,19:00,Courage,1.9,1–1,0.9,Gotham FC,"2,761",Sahlen's Stadium at WakeMed Soccer Park,Joshua Encarnacion,Match Report,https://fbref.com/en/matches/824e6399/North-Carolina-Courage-Gotham-FC-May-3-2023-NWSL-Challenge-Cup,824e6399
Group stage,2,Wed,5/3/23,19:00 (20:00),Dash,3.5,2–0,0.7,Red Stars,"3,696",Shell Energy Stadium,Adorae Monroy,Match Report,https://fbref.com/en/matches/e9749264/Houston-Dash-Chicago-Red-Stars-May-3-2023-NWSL-Challenge-Cup,e9749264
Group stage,4,Wed,5/3/23,19:00 (22:00),Reign,0.4,0–0,0.6,Angel City,"5,511",Lumen Field,Adam Kilpatrick,Match Report,https://fbref.com/en/matches/27c148ec/OL-Reign-Angel-City-FC-May-3-2023-NWSL-Challenge-Cup,27c148ec
Group stage,2,Wed,5/10/23,19:30,Spirit,1,4–2,0.8,Pride,"4,991",Audi Field,Joshua Encarnacion,Match Report,https://fbref.com/en/matches/32e46224/Washington-Spirit-Orlando-Pride-May-10-2023-NWSL-Challenge-Cup,32e46224
Group stage,2,Wed,5/17/23,19:30,Louisville,2.4,3–2,1,Current,"4,303",Lynn Family Stadium,Alex Billeter,Match Report,https://fbref.com/en/matches/35872cab/Racing-Louisville-Kansas-City-Current-May-17-2023-NWSL-Challenge-Cup,35872cab
Group stage,1,Wed,5/31/23,19:00 (20:00),Red Stars,0.3,0–2,1.9,Louisville,"1,762",SeatGeek Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/dd811060/Chicago-Red-Stars-Racing-Louisville-May-31-2023-NWSL-Challenge-Cup,dd811060
