match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Fri,4/29/22,16:30 (19:30),Angel City,1.2,2–1,1.5,Courage,"22,000",Banc of California Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/a9c03493/Angel-City-FC-North-Carolina-Courage-April-29-2022-NWSL,a9c03493
Regular Season,Sat,4/30/22,15:00 (18:00),Thorns,2.1,3–0,0.5,Current,"13,672",Providence Park,Brandon Stevis,Match Report,https://fbref.com/en/matches/7ae48fd2/Portland-Thorns-FC-Kansas-City-Current-April-30-2022-NWSL,7ae48fd2
Regular Season,Sun,5/1/22,17:00,Spirit,2.2,2–1,1.6,Reign,"10,177",Audi Field,Alex Billeter,Match Report,https://fbref.com/en/matches/4d71b963/Washington-Spirit-OL-Reign-May-1-2022-NWSL,4d71b963
Regular Season,Sun,5/1/22,18:00 (19:00),Dash,0.6,0–1,1,Wave,"7,722",PNC Stadium,Anya Voigt,Match Report,https://fbref.com/en/matches/f7ef2eb5/Houston-Dash-San-Diego-Wave-May-1-2022-NWSL,f7ef2eb5
Regular Season,Sun,5/1/22,19:00,Pride,1,0–3,0.9,Gotham FC,"4,304",Exploria Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/c71e9b2c/Orlando-Pride-Gotham-FC-May-1-2022-NWSL,c71e9b2c
Regular Season,Sat,4/30/22,19:00 (20:00),Red Stars,1.3,2–1,1.3,Louisville,"3,028",SeatGeek Stadium,Jeremy Scheer,Match Report,https://fbref.com/en/matches/76069ab3/Chicago-Red-Stars-Racing-Louisville-April-30-2022-NWSL,76069ab3
Regular Season,Sun,5/8/22,15:00 (18:00),Reign,2.4,2–2,0.9,Louisville,"4,396",Lumen Field,Karen Callado,Match Report,https://fbref.com/en/matches/2ae40c48/OL-Reign-Racing-Louisville-May-8-2022-NWSL,2ae40c48
Regular Season,Sun,5/8/22,16:00 (17:00),Current,1.6,0–2,1.7,Dash,"6,140",Children's Mercy Park,Alyssa Nichols,Match Report,https://fbref.com/en/matches/4b446ebc/Kansas-City-Current-Houston-Dash-May-8-2022-NWSL,4b446ebc
Regular Season,Sat,5/7/22,19:00 (22:00),Wave,4.1,4–0,0.5,Gotham FC,,Torero Stadium,Alex Billeter,Match Report,https://fbref.com/en/matches/041bd193/San-Diego-Wave-Gotham-FC-May-7-2022-NWSL,041bd193
Regular Season,Sun,5/8/22,17:00 (20:00),Angel City,0.9,0–1,1,Pride,,Banc of California Stadium,Adorae Monroy,Match Report,https://fbref.com/en/matches/cbf55073/Angel-City-FC-Orlando-Pride-May-8-2022-NWSL,cbf55073
