match type,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,4/15/17,12:00 (15:00),Thorns,2–0,Pride,"16,145",Providence Park,Danielle Chesky,Match Report,https://fbref.com/en/matches/bb09ce9f/Portland-Thorns-FC-Orlando-Pride-April-15-2017-NWSL,bb09ce9f
Regular Season,Sat,4/15/17,13:00 (14:00),Dash,2–0,Red Stars,"4,484",BBVA Compass Stadium,Farhad Dadkho,Match Report,https://fbref.com/en/matches/cfce4a7e/Houston-Dash-Chicago-Red-Stars-April-15-2017-NWSL,cfce4a7e
Regular Season,Sat,4/15/17,15:00,Spirit,0–1,Courage,"2,400",Maureen Hendricks Field at Maryland Socc...,Katja Koroleva,Match Report,https://fbref.com/en/matches/60c0fef2/Washington-Spirit-North-Carolina-Courage-April-15-2017-NWSL,60c0fef2
Regular Season,Sun,4/16/17,17:00 (18:00),Kansas City,2–0,Boston Breakers,"3,340",Swope Soccer Village Main Field,Chris Spivey,Match Report,https://fbref.com/en/matches/e0a6d860/FC-Kansas-City-Boston-Breakers-April-16-2017-NWSL,e0a6d860
Regular Season,Sat,4/15/17,19:00 (22:00),Reign,1–1,Sky Blue FC,"3,521",Seattle High School Memorial Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/eb7f25b6/Seattle-Reign-FC-Sky-Blue-FC-April-15-2017-NWSL,eb7f25b6
Regular Season,Sat,4/22/17,15:00 (16:00),Red Stars,1–0,Kansas City,"2,153",Toyota Park,Greg Dopka,Match Report,https://fbref.com/en/matches/64ae00a8/Chicago-Red-Stars-FC-Kansas-City-April-22-2017-NWSL,64ae00a8
Regular Season,Sat,4/22/17,16:00,Pride,1–1,Spirit,"14,452",Orlando City Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/bde14f5d/Orlando-Pride-Washington-Spirit-April-22-2017-NWSL,bde14f5d
Regular Season,Sat,4/22/17,19:30,Courage,1–0,Thorns,"6,298",WakeMed Soccer Park,Victor Rivas,Match Report,https://fbref.com/en/matches/ab51dc2a/North-Carolina-Courage-Portland-Thorns-FC-April-22-2017-NWSL,ab51dc2a
Regular Season,Sun,4/23/17,16:00,Boston Breakers,1–0,Sky Blue FC,"2,329",Jordan Field,Elvis Osmanovic,Match Report,https://fbref.com/en/matches/b14ef42f/Boston-Breakers-Sky-Blue-FC-April-23-2017-NWSL,b14ef42f
Regular Season,Sat,4/22/17,19:00 (22:00),Reign,5–1,Dash,"2,727",Seattle High School Memorial Stadium,Marco Vega,Match Report,https://fbref.com/en/matches/a0785409/Seattle-Reign-FC-Houston-Dash-April-22-2017-NWSL,a0785409
Regular Season,Sat,4/29/17,13:00 (16:00),Thorns,1–0,Red Stars,"14,471",Providence Park,Ramy Touchan,Match Report,https://fbref.com/en/matches/aae9acb9/Portland-Thorns-FC-Chicago-Red-Stars-April-29-2017-NWSL,aae9acb9
Regular Season,Sat,4/29/17,16:00,Courage,3–1,Pride,"4,586",WakeMed Soccer Park,Farhad Dadkho,Match Report,https://fbref.com/en/matches/5ecc20d9/North-Carolina-Courage-Orlando-Pride-April-29-2017-NWSL,5ecc20d9
Regular Season,Sat,4/29/17,19:00,Boston Breakers,3–0,Reign,"2,315",Jordan Field,Charles Murphy,Match Report,https://fbref.com/en/matches/657ab5b5/Boston-Breakers-Seattle-Reign-FC-April-29-2017-NWSL,657ab5b5
Regular Season,Sat,4/29/17,19:00,Spirit,0–1,Dash,"3,154",Maureen Hendricks Field at Maryland Socc...,Christina Unkel,Match Report,https://fbref.com/en/matches/2bbf11bc/Washington-Spirit-Houston-Dash-April-29-2017-NWSL,2bbf11bc
