match type,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,4/16/16,19:00,Spirit,1–0,Boston Breakers,,Maureen Hendricks Field at Maryland Socc...,Margaret Domka,Match Report,https://fbref.com/en/matches/0b641a7e/Washington-Spirit-Boston-Breakers-April-16-2016-NWSL,0b641a7e
Regular Season,Sun,4/17/16,16:00 (19:00),Reign,1–2,Sky Blue FC,3987,,,Match Report,https://fbref.com/en/matches/2a7d2195/Seattle-Reign-FC-Sky-Blue-FC-April-17-2016-NWSL,2a7d2195
Regular Season,Sat,4/16/16,19:30 (20:30),Kansas City,0–1,WNY Flash,8022,Children's Mercy Park,,Match Report,https://fbref.com/en/matches/ff1e7c30/FC-Kansas-City-Western-New-York-Flash-April-16-2016-NWSL,ff1e7c30
Regular Season,Sat,4/16/16,19:30 (20:30),Dash,3–1,Red Stars,7740,BBVA Compass Stadium,,Match Report,https://fbref.com/en/matches/a0486da6/Houston-Dash-Chicago-Red-Stars-April-16-2016-NWSL,a0486da6
Regular Season,Sun,4/17/16,19:00 (22:00),Thorns,2–1,Pride,16073,Providence Park,,Match Report,https://fbref.com/en/matches/75c25fca/Portland-Thorns-FC-Orlando-Pride-April-17-2016-NWSL,75c25fca
Regular Season,Sat,4/23/16,18:00 (19:00),Red Stars,1–0,WNY Flash,2529,Toyota Park,,Match Report,https://fbref.com/en/matches/f0424777/Chicago-Red-Stars-Western-New-York-Flash-April-23-2016-NWSL,f0424777
Regular Season,Sat,4/23/16,19:30,Pride,3–1,Dash,23403,Orlando Citrus Bowl,,Match Report,https://fbref.com/en/matches/c5c5aa55/Orlando-Pride-Houston-Dash-April-23-2016-NWSL,c5c5aa55
Regular Season,Sun,4/24/16,18:00,Sky Blue FC,1–2,Spirit,2571,,,Match Report,https://fbref.com/en/matches/ce38ef6c/Sky-Blue-FC-Washington-Spirit-April-24-2016-NWSL,ce38ef6c
Regular Season,Sun,4/24/16,18:30,Boston Breakers,0–3,Reign,3743,,,Match Report,https://fbref.com/en/matches/b514a2bf/Boston-Breakers-Seattle-Reign-FC-April-24-2016-NWSL,b514a2bf
Regular Season,Sat,4/23/16,19:30 (20:30),Kansas City,1–1,Thorns,3022,,,Match Report,https://fbref.com/en/matches/ca5bb662/FC-Kansas-City-Portland-Thorns-FC-April-23-2016-NWSL,ca5bb662
Regular Season,Fri,4/29/16,19:00,WNY Flash,0–3,Spirit,3615,,,Match Report,https://fbref.com/en/matches/d85bd112/Western-New-York-Flash-Washington-Spirit-April-29-2016-NWSL,d85bd112
Regular Season,Fri,4/29/16,19:30 (20:30),Dash,0–0,Sky Blue FC,5081,BBVA Compass Stadium,,Match Report,https://fbref.com/en/matches/9a7cca70/Houston-Dash-Sky-Blue-FC-April-29-2016-NWSL,9a7cca70
Regular Season,Sun,5/1/16,16:00 (19:00),Reign,1–0,Kansas City,4083,,,Match Report,https://fbref.com/en/matches/7eba51ec/Seattle-Reign-FC-FC-Kansas-City-May-1-2016-NWSL,7eba51ec
Regular Season,Sun,5/1/16,17:00,Boston Breakers,0–1,Thorns,3698,,,Match Report,https://fbref.com/en/matches/a69cbaec/Boston-Breakers-Portland-Thorns-FC-May-1-2016-NWSL,a69cbaec
Regular Season,Sun,5/1/16,17:00 (18:00),Red Stars,1–0,Pride,4024,Toyota Park,,Match Report,https://fbref.com/en/matches/62f30bfe/Chicago-Red-Stars-Orlando-Pride-May-1-2016-NWSL,62f30bfe
