match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Wed,9/11/19,19:30 (22:30),Thorns,0.7,0–6,2.6,Courage,"17,517",Providence Park,Guido Gonzalez Jr.,Match Report,https://fbref.com/en/matches/fdd56674/Portland-Thorns-FC-North-Carolina-Courage-September-11-2019-NWSL,fdd56674
Regular Season,Sat,9/14/19,19:00,Courage,5.5,6–1,0.5,Pride,"9,563",Sahlen's Stadium at WakeMed Soccer Park,Natalie Simon,Match Report,https://fbref.com/en/matches/8b7900bd/North-Carolina-Courage-Orlando-Pride-September-14-2019-NWSL,8b7900bd
Regular Season,Fri,9/13/19,19:30 (20:30),Dash,1.4,2–1,1.1,Royals,"4,538",BBVA Stadium,Luis Guardia,Match Report,https://fbref.com/en/matches/508e1cf0/Houston-Dash-Utah-Royals-FC-September-13-2019-NWSL,508e1cf0
Regular Season,Sat,9/14/19,19:30,Spirit,1.7,2–2,1.4,Reign,"17,418",Audi Field,Jon Freemon,Match Report,https://fbref.com/en/matches/1173feeb/Washington-Spirit-Reign-FC-September-14-2019-NWSL,1173feeb
Regular Season,Sun,9/15/19,17:00,Sky Blue FC,1.3,0–3,1.8,Red Stars,"2,871",The Soccer/Lacrosse Stadium at Yurcak Fi...,Katja Koroleva,Match Report,https://fbref.com/en/matches/d6124086/Sky-Blue-FC-Chicago-Red-Stars-September-15-2019-NWSL,d6124086
Regular Season,Tue,9/17/19,19:30,Courage,2.2,1–0,0.7,Dash,"4,943",Sahlen's Stadium at WakeMed Soccer Park,Thomas Snyder,Match Report,https://fbref.com/en/matches/03f02a2d/North-Carolina-Courage-Houston-Dash-September-17-2019-NWSL,03f02a2d
Regular Season,Sat,9/21/19,19:00 (20:00),Red Stars,1.1,3–1,1.3,Spirit,"4,317",SeatGeek Stadium,Mark Allatin,Match Report,https://fbref.com/en/matches/fba4e358/Chicago-Red-Stars-Washington-Spirit-September-21-2019-NWSL,fba4e358
Regular Season,Sat,9/21/19,19:00 (21:00),Royals,0.6,0–3,1.8,Courage,"9,946",Rio Tinto Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/1b8fd283/Utah-Royals-FC-North-Carolina-Courage-September-21-2019-NWSL,1b8fd283
Regular Season,Sat,9/21/19,19:00 (22:00),Reign,2.7,0–1,1.4,Sky Blue FC,"6,189",Cheney Stadium,Rosendo Mendoza,Match Report,https://fbref.com/en/matches/2c25dcc1/Reign-FC-Sky-Blue-FC-September-21-2019-NWSL,2c25dcc1
Regular Season,Sat,9/21/19,19:30 (22:30),Thorns,1.5,1–0,1.3,Dash,"21,022",Providence Park,Victor Rivas,Match Report,https://fbref.com/en/matches/96746e28/Portland-Thorns-FC-Houston-Dash-September-21-2019-NWSL,96746e28
