match type,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,4/12/14,19:00 (20:00),Kansas City,1–1,Sky Blue FC,3107,,Dimitar Chavdarov,Match Report,https://fbref.com/en/matches/04d023e7/FC-Kansas-City-Sky-Blue-FC-April-12-2014-NWSL,04d023e7
Regular Season,Sat,4/12/14,19:00 (20:00),Dash,0–1,Thorns,8097,BBVA Compass Stadium,Christina Unkel,Match Report,https://fbref.com/en/matches/d6aec4b1/Houston-Dash-Portland-Thorns-FC-April-12-2014-NWSL,d6aec4b1
Regular Season,Sun,4/13/14,0.791666667,Spirit,1–3,WNY Flash,2306,Maureen Hendricks Field at Maryland Socc...,Miguel Panduro,Match Report,https://fbref.com/en/matches/2fd9c845/Washington-Spirit-Western-New-York-Flash-April-13-2014-NWSL,2fd9c845
Regular Season,Sun,4/13/14,19:00 (22:00),Reign,3–0,Boston Breakers,3021,,Katja Koroleva,Match Report,https://fbref.com/en/matches/99453465/Seattle-Reign-FC-Boston-Breakers-April-13-2014-NWSL,99453465
Regular Season,Sat,4/19/14,0.791666667,Sky Blue FC,1–1,Thorns,2983,,Miguel Panduro,Match Report,https://fbref.com/en/matches/f740ebaf/Sky-Blue-FC-Portland-Thorns-FC-April-19-2014-NWSL,f740ebaf
Regular Season,Sat,4/19/14,0.791666667,Spirit,3–1,Kansas City,2577,Maureen Hendricks Field at Maryland Socc...,Matt Franz,Match Report,https://fbref.com/en/matches/6ed85fb8/Washington-Spirit-FC-Kansas-City-April-19-2014-NWSL,6ed85fb8
Regular Season,Sat,4/19/14,19:00 (20:00),Red Stars,1–0,WNY Flash,15743,Toyota Park,Christina Unkel,Match Report,https://fbref.com/en/matches/be1600aa/Chicago-Red-Stars-Western-New-York-Flash-April-19-2014-NWSL,be1600aa
Regular Season,Sun,4/20/14,0.791666667,Boston Breakers,2–3,Dash,2018,,Josh Wilkens,Match Report,https://fbref.com/en/matches/e2a1b418/Boston-Breakers-Houston-Dash-April-20-2014-NWSL,e2a1b418
Regular Season,Wed,4/23/14,19:00 (22:00),Reign,3–1,Spirit,1754,,Josh Wilkens,Match Report,https://fbref.com/en/matches/66645e5e/Seattle-Reign-FC-Washington-Spirit-April-23-2014-NWSL,66645e5e
Regular Season,Sun,4/27/14,0.791666667,Boston Breakers,3–2,Sky Blue FC,1263,,Juliana Duncan,Match Report,https://fbref.com/en/matches/b3aab324/Boston-Breakers-Sky-Blue-FC-April-27-2014-NWSL,b3aab324
