match type,wk,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,1,Sat,3/25/23,14:00,Courage,0.7,1–0,0.8,Current,"4,948",Sahlen's Stadium at WakeMed Soccer Park,Alex Billeter,Match Report,https://fbref.com/en/matches/4daf6a3e/North-Carolina-Courage-Kansas-City-Current-March-25-2023-NWSL,4daf6a3e
Regular Season,1,Sun,3/26/23,14:00 (17:00),Thorns,3.7,4–0,0.6,Pride,"15,204",Providence Park,Eric Tattersall,Match Report,https://fbref.com/en/matches/6bb1dcb0/Portland-Thorns-FC-Orlando-Pride-March-26-2023-NWSL,6bb1dcb0
Regular Season,1,Sun,3/26/23,16:00,Spirit,0.7,1–0,2.2,Reign,"11,281",Audi Field,Alyssa Nichols,Match Report,https://fbref.com/en/matches/e6cd7493/Washington-Spirit-OL-Reign-March-26-2023-NWSL,e6cd7493
Regular Season,1,Sun,3/26/23,18:00 (19:00),Dash,1.3,0–0,1.2,Louisville,"5,722",Shell Energy Stadium,Danielle Chesky,Match Report,https://fbref.com/en/matches/570d927f/Houston-Dash-Racing-Louisville-March-26-2023-NWSL,570d927f
Regular Season,1,Sat,3/25/23,19:00 (22:00),Wave,2.1,3–2,2.5,Red Stars,"30,854",Snapdragon Stadium,Elton Garcia,Match Report,https://fbref.com/en/matches/119e0735/San-Diego-Wave-Chicago-Red-Stars-March-25-2023-NWSL,119e0735
Regular Season,1,Sun,3/26/23,21:00,Angel City,1,1–2,1.7,Gotham FC,"22,000",BMO Field,Elijio Arreguin,Match Report,https://fbref.com/en/matches/77024d19/Angel-City-FC-Gotham-FC-March-26-2023-NWSL,77024d19
Regular Season,2,Sat,4/1/23,11:50 (12:50),Current,1.6,1–4,2.2,Thorns,"11,301",Children's Mercy Park,Natalie Simon,Match Report,https://fbref.com/en/matches/444a7265/Kansas-City-Current-Portland-Thorns-FC-April-1-2023-NWSL,444a7265
Regular Season,2,Sat,4/1/23,13:00 (14:00),Red Stars,1.2,1–2,2.6,Dash,"4,065",SeatGeek Stadium,Karen Callado,Match Report,https://fbref.com/en/matches/36a183f3/Chicago-Red-Stars-Houston-Dash-April-1-2023-NWSL,36a183f3
Regular Season,2,Sat,4/1/23,15:00,Louisville,0.8,2–2,2.1,Spirit,"4,861",Lynn Family Stadium,Sergii Demianchuk,Match Report,https://fbref.com/en/matches/1b3fed3f/Racing-Louisville-Washington-Spirit-April-1-2023-NWSL,1b3fed3f
Regular Season,2,Sat,4/1/23,19:30,Gotham FC,0.5,0–2,1.7,Reign,"7,534",Red Bull Arena,Brad Jensen,Match Report,https://fbref.com/en/matches/76a963e6/Gotham-FC-OL-Reign-April-1-2023-NWSL,76a963e6
Regular Season,2,Sun,4/2/23,17:30,Pride,1.4,1–2,2.6,Angel City,"7,137",Exploria Stadium,Danielle Chesky,Match Report,https://fbref.com/en/matches/038d5f72/Orlando-Pride-Angel-City-FC-April-2-2023-NWSL,038d5f72
Regular Season,2,Sat,4/1/23,19:00 (22:00),Wave,1.7,3–1,1.2,Courage,"17,000",Snapdragon Stadium,John Griggs,Match Report,https://fbref.com/en/matches/1a60c64d/San-Diego-Wave-North-Carolina-Courage-April-1-2023-NWSL,1a60c64d
Regular Season,3,Sat,4/15/23,19:00,Pride,0.7,0–2,2.2,Gotham FC,"5,258",Exploria Stadium,Elvis Osmanovic,Match Report,https://fbref.com/en/matches/af9e6aa0/Orlando-Pride-Gotham-FC-April-15-2023-NWSL,af9e6aa0
Regular Season,3,Sat,4/15/23,19:00,Courage,1.7,1–2,1.4,Spirit,"5,160",Sahlen's Stadium at WakeMed Soccer Park,Adorae Monroy,Match Report,https://fbref.com/en/matches/973b8702/North-Carolina-Courage-Washington-Spirit-April-15-2023-NWSL,973b8702
Regular Season,3,Fri,4/14/23,19:30 (22:30),Thorns,2.7,1–1,1.4,Dash,"15,657",Providence Park,Alex Billeter,Match Report,https://fbref.com/en/matches/dfcc80f1/Portland-Thorns-FC-Houston-Dash-April-14-2023-NWSL,dfcc80f1
Regular Season,3,Sat,4/15/23,19:00 (20:00),Red Stars,0.7,4–2,1.5,Current,"2,356",SeatGeek Stadium,Elijio Arreguin,Match Report,https://fbref.com/en/matches/ecdb0756/Chicago-Red-Stars-Kansas-City-Current-April-15-2023-NWSL,ecdb0756
Regular Season,3,Sat,4/15/23,19:00 (22:00),Angel City,1.9,2–2,1.9,Louisville,"18,007",BMO Stadium,Brad Jensen,Match Report,https://fbref.com/en/matches/f048e50d/Angel-City-FC-Racing-Louisville-April-15-2023-NWSL,f048e50d
Regular Season,3,Sat,4/15/23,19:00 (22:00),Reign,0.8,1–0,1.1,Wave,"9,219",Lumen Field,Tori Penso,Match Report,https://fbref.com/en/matches/58f01846/OL-Reign-San-Diego-Wave-April-15-2023-NWSL,58f01846
Regular Season,4,Sat,4/22/23,12:30 (15:30),Reign,1.1,5–2,0.7,Red Stars,"6,186",Lumen Field,John Griggs,Match Report,https://fbref.com/en/matches/1c170723/OL-Reign-Chicago-Red-Stars-April-22-2023-NWSL,1c170723
Regular Season,4,Sat,4/22/23,19:00,Spirit,0.8,0–0,0.4,Dash,"7,073",Audi Field,Elton Garcia,Match Report,https://fbref.com/en/matches/0b33d8bf/Washington-Spirit-Houston-Dash-April-22-2023-NWSL,0b33d8bf
Regular Season,4,Sat,4/22/23,19:30,Gotham FC,1.3,1–0,1.2,Courage,"3,200",Red Bull Arena,Matthew Thompson,Match Report,https://fbref.com/en/matches/7b1d9e98/Gotham-FC-North-Carolina-Courage-April-22-2023-NWSL,7b1d9e98
Regular Season,4,Sun,4/23/23,16:00 (17:00),Current,1.4,2–0,1.1,Pride,"9,808",Children's Mercy Park,Karen Callado,Match Report,https://fbref.com/en/matches/12ddcc67/Kansas-City-Current-Orlando-Pride-April-23-2023-NWSL,12ddcc67
Regular Season,4,Sat,4/22/23,19:30 (22:30),Thorns,1.4,2–0,0.8,Louisville,"14,972",Providence Park,Thomas Snyder,Match Report,https://fbref.com/en/matches/7cdb0bb5/Portland-Thorns-FC-Racing-Louisville-April-22-2023-NWSL,7cdb0bb5
Regular Season,4,Sun,4/23/23,17:00 (20:00),Angel City,0.8,0–2,0.4,Wave,"22,000",BMO Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/b5199fe1/Angel-City-FC-San-Diego-Wave-April-23-2023-NWSL,b5199fe1
Regular Season,5,Fri,4/28/23,19:30 (20:30),Dash,0.3,0–1,0.6,Courage,"4,255",Shell Energy Stadium,Thomas Snyder,Match Report,https://fbref.com/en/matches/1a157196/Houston-Dash-North-Carolina-Courage-April-28-2023-NWSL,1a157196
Regular Season,5,Sat,4/29/23,19:30,Louisville,1.2,2–2,1.5,Reign,"6,185",Lynn Family Stadium,Eric Tattersall,Match Report,https://fbref.com/en/matches/1ac67a32/Racing-Louisville-OL-Reign-April-29-2023-NWSL,1ac67a32
Regular Season,5,Sun,4/30/23,17:00 (18:00),Current,2.8,2–0,1.1,Gotham FC,"9,409",Children's Mercy Park,Adorae Monroy,Match Report,https://fbref.com/en/matches/76a4eaa9/Kansas-City-Current-Gotham-FC-April-30-2023-NWSL,76a4eaa9
Regular Season,5,Sat,4/29/23,19:00 (20:00),Red Stars,1.2,1–1,3.1,Spirit,"3,610",SeatGeek Stadium,Mathew Corrigan,Match Report,https://fbref.com/en/matches/82ad937c/Chicago-Red-Stars-Washington-Spirit-April-29-2023-NWSL,82ad937c
Regular Season,5,Sat,4/29/23,19:00 (22:00),Wave,1.3,1–3,0.8,Pride,"16,225",Snapdragon Stadium,Brad Jensen,Match Report,https://fbref.com/en/matches/62a51875/San-Diego-Wave-Orlando-Pride-April-29-2023-NWSL,62a51875
Regular Season,5,Sat,4/29/23,19:30 (22:30),Thorns,2.2,3–3,1,Angel City,"16,938",Providence Park,Elton Garcia,Match Report,https://fbref.com/en/matches/2e307145/Portland-Thorns-FC-Angel-City-FC-April-29-2023-NWSL,2e307145
Regular Season,6,Sat,5/6/23,13:00,Spirit,2.1,3–1,0.7,Wave,"12,232",Audi Field,Matthew Thompson,Match Report,https://fbref.com/en/matches/233953db/Washington-Spirit-San-Diego-Wave-May-6-2023-NWSL,233953db
Regular Season,6,Sat,5/6/23,19:00,Pride,1.7,1–0,1.3,Louisville,"5,106",Exploria Stadium,Jeremy Scheer,Match Report,https://fbref.com/en/matches/a3f1fd57/Orlando-Pride-Racing-Louisville-May-6-2023-NWSL,a3f1fd57
Regular Season,6,Sat,5/6/23,19:00,Courage,1,3–3,1.9,Thorns,"7,070",Sahlen's Stadium at WakeMed Soccer Park,Alyssa Nichols,Match Report,https://fbref.com/en/matches/7a39bead/North-Carolina-Courage-Portland-Thorns-FC-May-6-2023-NWSL,7a39bead
Regular Season,6,Sun,5/7/23,17:00 (18:00),Red Stars,0.9,1–2,1.8,Gotham FC,"3,692",SeatGeek Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/f200e21d/Chicago-Red-Stars-Gotham-FC-May-7-2023-NWSL,f200e21d
Regular Season,6,Sat,5/6/23,19:00 (22:00),Reign,1.1,2–0,0.4,Dash,"6,132",Lumen Field,Brandon Stevis,Match Report,https://fbref.com/en/matches/6fab8a8e/OL-Reign-Houston-Dash-May-6-2023-NWSL,6fab8a8e
Regular Season,6,Sun,5/7/23,17:00 (20:00),Angel City,1.7,3–2,1.8,Current,"19,219",BMO Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/4de26c64/Angel-City-FC-Kansas-City-Current-May-7-2023-NWSL,4de26c64
Regular Season,7,Fri,5/12/23,19:30,Louisville,2.1,3–0,0.5,Red Stars,"4,143",Lynn Family Stadium,Alyssa Nichols,Match Report,https://fbref.com/en/matches/1e61e6d0/Racing-Louisville-Chicago-Red-Stars-May-12-2023-NWSL,1e61e6d0
Regular Season,7,Fri,5/12/23,19:30 (20:30),Dash,1.2,2–1,1.3,Thorns,"4,638",Shell Energy Stadium,Katja Koroleva,Match Report,https://fbref.com/en/matches/c5929ccf/Houston-Dash-Portland-Thorns-FC-May-12-2023-NWSL,c5929ccf
Regular Season,7,Sun,5/14/23,15:00,Courage,0.9,1–0,0.9,Reign,"4,059",Sahlen's Stadium at WakeMed Soccer Park,Alex Billeter,Match Report,https://fbref.com/en/matches/6afadaae/North-Carolina-Courage-OL-Reign-May-14-2023-NWSL,6afadaae
Regular Season,7,Sun,5/14/23,17:00 (18:00),Current,1.5,0–2,1.3,Wave,"12,969",Children's Mercy Park,Danielle Chesky,Match Report,https://fbref.com/en/matches/9a3194b6/Kansas-City-Current-San-Diego-Wave-May-14-2023-NWSL,9a3194b6
Regular Season,7,Sun,5/14/23,17:30,Gotham FC,0.4,0–0,1.3,Pride,"3,468",Red Bull Arena,Anya Voigt,Match Report,https://fbref.com/en/matches/b7d732c1/Gotham-FC-Orlando-Pride-May-14-2023-NWSL,b7d732c1
Regular Season,7,Sat,5/13/23,19:00 (22:00),Angel City,0.5,0–1,1.7,Spirit,"17,427",BMO Stadium,John Griggs,Match Report,https://fbref.com/en/matches/355edc62/Angel-City-FC-Washington-Spirit-May-13-2023-NWSL,355edc62
Regular Season,8,Sat,5/20/23,19:00,Courage,1,0–0,0.6,Angel City,"4,723",Sahlen's Stadium at WakeMed Soccer Park,Sergii Demianchuk,Match Report,https://fbref.com/en/matches/8137d4d4/North-Carolina-Courage-Angel-City-FC-May-20-2023-NWSL,8137d4d4
Regular Season,8,Sat,5/20/23,19:00,Pride,1.6,2–1,0.6,Spirit,"4,290",Exploria Stadium,Thomas Snyder,Match Report,https://fbref.com/en/matches/c00c0e92/Orlando-Pride-Washington-Spirit-May-20-2023-NWSL,c00c0e92
Regular Season,8,Sun,5/21/23,14:00 (17:00),Thorns,2.8,4–0,0.7,Red Stars,"20,402",Providence Park,Tori Penso,Match Report,https://fbref.com/en/matches/7247e49a/Portland-Thorns-FC-Chicago-Red-Stars-May-21-2023-NWSL,7247e49a
Regular Season,8,Sun,5/21/23,15:00 (18:00),Reign,1.3,1–4,1.9,Gotham FC,"8,146",Lumen Field,Katja Koroleva,Match Report,https://fbref.com/en/matches/290df075/OL-Reign-Gotham-FC-May-21-2023-NWSL,290df075
Regular Season,8,Sat,5/20/23,19:00 (20:00),Current,1.7,0–2,1.5,Louisville,"10,603",Children's Mercy Park,Brad Jensen,Match Report,https://fbref.com/en/matches/8d3c0bbb/Kansas-City-Current-Racing-Louisville-May-20-2023-NWSL,8d3c0bbb
Regular Season,8,Sat,5/20/23,19:30 (20:30),Dash,0.7,0–3,1.1,Wave,"5,966",Shell Energy Stadium,Elijio Arreguin,Match Report,https://fbref.com/en/matches/cc101301/Houston-Dash-San-Diego-Wave-May-20-2023-NWSL,cc101301
Regular Season,9,Sat,5/27/23,12:30 (15:30),Reign,2.7,4–1,0.5,Angel City,"7,620",Lumen Field,Thomas Snyder,Match Report,https://fbref.com/en/matches/9bb6829b/OL-Reign-Angel-City-FC-May-27-2023-NWSL,9bb6829b
