player_id,player_name,scraped_dob,status,success
52b58405,Abby Dahlkemper,"May 13, 1993",success,True
947d22fb,Abby Smith,"October 4, 1993",success,True
15c7bfb7,Adriana Leon,"October 2, 1992",success,True
220b9b36,Ainsley Mccammon,"August 16, 2007",success,True
abf96cef,Aisha Solórzano,"April 13, 1998",success,True
7ca7c385,Alana Cook,"April 11, 1997",success,True
8252bc62,Alanna Kennedy,"January 21, 1995",success,True
ea429c45,Alex Loera,"June 19, 1999",success,True
0567dc96,Alexa Spaanstra,"February 1, 2000",success,True
51e267dc,Aline,"July 7, 2005",success,True
7bbb977b,Ally Lemos,"March 4, 2004",success,True
758fe55e,Ally Schlegel,"February 7, 2000",success,True
e91c05ee,Ally Sentnor,"February 18, 2004",success,True
56d5fb23,Ally Watt,"March 12, 1997",success,True
50bf36a3,Alyssa Malonson,"April 9, 1999",success,True
4c1ee572,Alyssa Naeher,,HTTP 403,False
2fcc0a10,Alyssa Thompson,"November 7, 2004",success,True
36355319,Amanda McGlynn,"November 3, 1998",success,True
8d5a8340,Ana María Guzmán,"June 11, 2005",success,True
93504985,Ana Tejada,"June 2, 2002",success,True
