Unnamed: 0,Unnamed: 1,Unnamed: 2
Access to the most complete sports database on the Internet,✓,✓
Affordable,✓ ($0/month),✓ ($9/month)
Discovery tools to search the Sports Reference database,x,✓
Customized leaderboards,x,✓
Ad-free viewing,x,✓
